TEAM,GP,W,L,MIN,DEFRTG,DREB,DREB%,STL,BLK,Opp PTS OFF TOV,Opp PTS 2nd CHANCE,Opp PTS FB,Opp PTS PAINT,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,Season,Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
Dallas Mavericks,82,50,32,48.3,105.3,31.6,74.6,7.2,5.2,14.8,13,13.3,38.9,82,50,32,3961,108.1,105.3,2.8,56.9,1.71,17.1,26.6,74.6,50.8,13.5,50.4,55,93.85,52.2,2008-2009,Dallas Mavericks,32.79,18.97,24.15,23.83,0.27,13,12.09,11.26,10.34,14.5,13.54,2008-2009,REG,82
Denver Nuggets,82,54,28,48.1,103.5,30.6,71.7,8.7,6,16.8,14.3,11.6,39,82,54,28,3946,107.5,103.5,4,59.5,1.45,17,27.5,71.7,50.2,15.8,51.2,56.3,97,52.9,2008-2009,Denver Nuggets,44.72,11.03,21.58,22.32,0.35,11.44,12.26,9.14,10.35,13.48,13.77,2008-2009,REG,82
Detroit Pistons,82,39,43,48.5,105.2,29.9,74,6,4.6,13.1,11.7,10.4,37.6,82,39,43,3981,104.5,105.2,-0.8,56.7,1.74,16.8,27.9,74,50.6,13.2,48.3,52.4,89.08,49.6,2008-2009,Detroit Pistons,33.59,19.37,30.49,16.35,0.2,12.34,11.96,10.52,9.84,13.86,13.7,2008-2009,REG,82
Golden State Warriors,82,29,53,48.5,110.1,30.4,68.1,7.8,6.4,18,17.1,16.8,48.6,82,29,53,3976,106.6,110.1,-3.5,53,1.42,15.5,26.1,68.1,47.2,14.4,49.7,54.9,100.95,47.8,2008-2009,Golden State Warriors,42.03,11.88,25.18,20.58,0.33,12.14,11.23,10.15,9.45,13.82,12.79,2008-2009,REG,82
Houston Rockets,82,53,29,48.3,101.4,32.5,75.3,6.7,4.3,15.7,11.7,11.7,38,82,53,29,3961,105.4,101.4,4,56.2,1.44,16.3,26.4,75.3,51.9,15.1,50.1,54.8,92.67,53,2008-2009,Houston Rockets,41.9,16.12,16.58,24.93,0.46,11.96,12.09,10.15,10.34,13.47,13.48,2008-2009,REG,82
Indiana Pacers,82,36,46,48.4,106.5,32.5,74.5,7,5.3,17,12.6,12.5,37.8,82,36,46,3966,105.4,106.5,-1.2,55.1,1.49,16.3,25.4,74.5,49.8,14.5,50.1,54.5,98.94,48.9,2008-2009,Indiana Pacers,39.82,13.49,22.37,24.07,0.25,12.46,12.69,10.7,10.95,13.93,14.16,2008-2009,REG,82
Los Angeles Clippers,82,19,63,48.5,108.8,29,71.2,7,5.9,16.8,14.6,11.9,44.5,82,19,63,3976,99.5,108.8,-9.2,58.3,1.41,16.5,25.1,71.2,47.5,15.6,48.1,52,94.57,44.1,2008-2009,Los Angeles Clippers,42.39,13.22,21.78,22.11,0.51,11.89,11.49,9.72,9.54,13.6,13.24,2008-2009,REG,82
Los Angeles Lakers,82,65,17,48.2,101.9,31.5,73,8.8,5.1,15.1,13.3,11.5,41.7,82,65,17,3956,109.8,101.9,7.9,57.7,1.73,17.5,29.4,73,51.4,13.8,51.3,55.5,96.93,54.7,2008-2009,Los Angeles Lakers,42.33,16.38,19.6,21.45,0.23,11.52,12.08,9.49,9.79,13.35,13.93,2008-2009,REG,82
Memphis Grizzlies,82,24,58,48.3,106.8,28.5,73.5,7.5,4.7,16.1,12.7,12.3,41.7,82,24,58,3961,100.9,106.8,-5.9,49.7,1.14,14.4,25.8,73.5,49.3,16.4,48.6,53.3,92.45,45.7,2008-2009,Memphis Grizzlies,44.84,14.98,22.69,17.26,0.22,11.02,12.04,9.42,9.74,12.35,14.1,2008-2009,REG,82
Miami Heat,82,43,39,48.7,104.7,29.4,72.9,7.9,5.5,14.7,13,11.4,39.1,82,43,39,3991,105.1,104.7,0.4,55.1,1.63,16.4,24.6,72.9,48.6,13.4,50,54,92.29,50.5,2008-2009,Miami Heat,35.73,15.06,24.77,24.06,0.38,12.88,11.9,10.78,10.04,14.65,13.44,2008-2009,REG,82
Milwaukee Bucks,82,34,48,48.2,104.9,28.9,74,7.4,3.8,16.6,12.9,11.9,36.2,82,34,48,3956,103.8,104.9,-1.2,59.9,1.56,17,27.8,74,49.9,14.7,48.3,53.1,95.18,48.5,2008-2009,Milwaukee Bucks,38.55,16.41,24.18,20.7,0.16,12.05,12.13,10.29,10.08,13.46,13.86,2008-2009,REG,82
Minnesota Timberwolves,82,24,58,48.3,109.1,29.8,75,6.2,3.9,16.5,12.1,13,39.8,82,24,58,3961,102.6,109.1,-6.5,56.1,1.44,16,27.7,75,50.5,14.9,48.1,52.6,94.14,45.3,2008-2009,Minnesota Timberwolves,43.04,14.59,19.64,22.41,0.33,11.58,12.24,9.58,10.37,13.16,13.93,2008-2009,REG,82
New Jersey Nets,82,34,48,48.4,108.2,29.5,73.5,6.8,4.8,15.6,13.1,13.2,38.4,82,34,48,3966,105.4,108.2,-2.8,55.9,1.52,16.2,25.2,73.5,49,14.1,49.7,54.3,92.3,47.4,2008-2009,New Jersey Nets,38.61,13.34,21.56,26.3,0.18,12.45,12.14,10.49,10.21,14.04,13.8,2008-2009,REG,82
New Orleans Hornets,82,49,33,48.2,104.1,29.9,74.9,7.2,4.1,13.9,11.7,11.2,35.8,82,49,33,3951,106.2,104.1,2,55.3,1.56,16.4,24.6,74.9,49.8,13.9,50.1,54.8,90.04,51.5,2008-2009,New Orleans Hornets,36.03,18.65,21.36,23.81,0.14,12.43,12.65,10.48,10.45,14.08,14.47,2008-2009,REG,82
New York Knicks,82,32,50,48.3,108.4,31,72.7,7.4,2.5,16.7,13.7,12.9,45.7,82,32,50,3961,105.3,108.4,-3.1,55.1,1.48,16,24.4,72.7,47.8,14.3,50.3,54.4,99.03,46.7,2008-2009,New York Knicks,41.59,10.9,15.41,31.76,0.34,12.5,11.78,10.31,9.67,14.25,13.72,2008-2009,REG,82
Oklahoma City Thunder,82,23,59,48.3,106.9,30.5,73.9,7.4,4.5,19,13,14,44.7,82,23,59,3961,99.9,106.9,-7,55.5,1.25,15.7,28.6,73.9,50.8,16.7,47.1,52.1,96.11,46.4,2008-2009,Oklahoma City Thunder,43.71,17.37,24.69,14.02,0.21,10.7,10.97,8.64,9.22,12.36,12.57,2008-2009,REG,82
Orlando Magic,82,59,23,48.1,98.9,33.3,75.9,7,5.4,15,12.5,11.2,35.7,82,59,23,3946,107.2,98.9,8.3,54.4,1.39,15.7,24,75.9,50.7,14.8,52,55.9,94.59,54.5,2008-2009,Orlando Magic,36.74,14.34,15.51,33.21,0.2,13.21,12.38,11.09,10.67,14.99,13.68,2008-2009,REG,82
Philadelphia 76ers,82,41,41,48.2,104.7,28.5,71.4,8,5.1,16.3,13.3,11.1,39.8,82,41,41,3951,104.7,104.7,0,55,1.42,16,31.3,71.4,51.2,15.2,48.5,53.2,92.61,50.3,2008-2009,Philadelphia 76ers,45.6,17.61,20.38,16.08,0.34,10.44,12.01,8.16,9.99,12.37,13.74,2008-2009,REG,82
Phoenix Suns,82,46,36,48.2,108.5,30.7,71.7,7.2,5.1,18.6,15.4,13.2,39.8,82,46,36,3951,111.2,108.5,2.6,56.5,1.48,17.5,27.7,71.7,50.6,16,54.5,58.4,98.39,52.5,2008-2009,Phoenix Suns,47.19,15.49,15.79,21.2,0.33,10.61,12.76,8.41,10.99,12.85,14.31,2008-2009,REG,82
Portland Trail Blazers,82,54,28,48.4,104.5,28.8,75,6.7,4.9,14.1,12.1,10.3,38.4,82,54,28,3966,110.7,104.5,6.2,55.2,1.58,16.5,32.6,75,53.5,14.3,51.1,55.3,89.23,53.1,2008-2009,Portland Trail Blazers,38.19,14.82,23.08,23.42,0.5,12.4,11.7,10.41,9.97,14.12,13.17,2008-2009,REG,82
Sacramento Kings,82,17,65,48.5,111.9,28.9,69.9,6.9,4.3,18.7,13.9,14.3,45.6,82,17,65,3981,102.6,111.9,-9.3,54.1,1.28,15.4,24.5,69.9,47,15.8,49.1,54.2,96.77,44,2008-2009,Sacramento Kings,39.49,13.68,22.99,23.52,0.3,12.37,11.27,10.54,9.4,13.86,13.03,2008-2009,REG,82
San Antonio Spurs,82,54,28,48.5,102,32.2,78,5.8,4,13.2,10.8,12.1,37,82,54,28,3981,106.2,102,4.3,57.1,1.8,17.4,22.1,78,50.4,12.9,51.3,54.8,90.4,52.3,2008-2009,San Antonio Spurs,36.37,13.96,25.42,24.01,0.24,12.97,11.85,11.31,10.56,14.43,12.94,2008-2009,REG,82
Toronto Raptors,82,33,49,48.3,107.1,30.6,73.7,6.4,4.8,15.6,13.4,11.5,40.6,82,33,49,3961,104.3,107.1,-2.8,60.1,1.67,17.6,24,73.7,49.1,14.1,49.4,54.2,94.44,49.2,2008-2009,Toronto Raptors,33.45,17.83,29.45,19,0.27,12.72,12.46,11.14,10.35,14.05,14.3,2008-2009,REG,82
Utah Jazz,82,48,34,48.5,104.7,29.5,72.7,8.8,4.6,16.6,13.6,13.3,43.3,82,48,34,3976,107.1,104.7,2.5,64.4,1.67,18.6,28.2,72.7,50.5,15.3,50.4,55.4,95.58,53.5,2008-2009,Utah Jazz,45.06,12.07,26.01,16.63,0.23,10.87,11.53,8.78,9.31,12.76,13.44,2008-2009,REG,82
Washington Wizards,82,19,63,48.1,111.2,28.4,71.4,7.5,4.5,17.4,13.2,13.7,40,82,19,63,3941,102.3,111.2,-8.9,54.8,1.43,15.9,27.7,71.4,49,14.9,48,52.4,93.39,44.8,2008-2009,Washington Wizards,42.81,14.95,24.27,17.82,0.15,11.45,12.58,9.34,10.55,13.18,14.47,2008-2009,REG,82
Atlanta Hawks,82,37,45,48.4,105.9,29.9,71.7,7.3,5.5,17.2,14.2,13.3,43.5,82,37,45,3971,104,105.9,-2,60.6,1.48,17.1,29.7,71.7,50.8,15.8,48.3,53.5,93.62,49.8,2007-2008,Atlanta Hawks,43.25,14.27,26.08,16.04,0.35,11.17,11.54,9.05,9.5,12.94,13.3,2007-2008,REG,82
Boston Celtics,82,66,16,48.2,96.2,31.9,74.4,8.5,4.6,16.2,12.5,9.1,34.1,82,66,16,3951,107.6,96.2,11.5,61.4,1.47,17.8,26.6,74.4,51.9,16.3,52.2,56.9,93.3,58.1,2007-2008,Boston Celtics,41,13.09,21.01,24.61,0.29,12.24,12.91,10.45,10.52,13.86,14.64,2007-2008,REG,82
Charlotte Bobcats,82,32,50,48.5,106.8,29.8,71,7.5,4.9,16.8,15,13.5,43.9,82,32,50,3976,102.1,106.8,-4.7,59.1,1.45,16.7,25.6,71,48.2,15.4,49.2,53.2,94.07,46.9,2007-2008,Charlotte Bobcats,41.75,13.37,22.89,21.85,0.15,11.69,11.67,9.74,9.47,13.31,13.59,2007-2008,REG,82
Chicago Bulls,82,33,49,48.3,104.2,30.2,73.1,7.7,5.2,16.4,12.7,12.9,35.6,82,33,49,3961,101,104.2,-3.2,60.6,1.51,16.8,28.9,73.1,50.2,15.2,47,51.5,95.73,48,2007-2008,Chicago Bulls,37.25,15.6,28.16,18.74,0.25,12.21,12.49,10.78,10.81,13.32,13.88,2007-2008,REG,82
Cleveland Cavaliers,82,45,37,48.4,103.7,31.3,75.9,7.1,5.2,15.8,11.3,12.4,37.5,82,45,37,3971,103.2,103.7,-0.5,55.8,1.43,15.8,30.4,75.9,52.4,15,48,52,92.52,49,2007-2008,Cleveland Cavaliers,38.83,14.33,23.81,22.84,0.2,12.28,12.08,10.07,10.2,13.99,13.65,2007-2008,REG,82
Dallas Mavericks,82,51,31,48.1,103.1,32.2,75,6,4.9,13.9,12.9,12.8,39.2,82,51,31,3946,108.6,103.1,5.4,56.9,1.66,16.9,26.7,75,51.6,13.7,50.2,55.4,92.47,53.6,2007-2008,Dallas Mavericks,33.36,20.65,24.38,21.22,0.39,12.72,11.64,10.96,9.66,14.24,13.22,2007-2008,REG,82
Denver Nuggets,82,50,32,48.4,103.2,32.9,72.1,9.2,6.7,17,14.6,14.2,43,82,50,32,3971,107.6,103.2,4.4,61.2,1.68,17.8,25.5,72.1,49.3,14.3,51,55.7,102.32,52.9,2007-2008,Denver Nuggets,43.14,13.27,20.82,22.26,0.51,11.55,12.34,9.15,10.37,13.68,14,2007-2008,REG,82
Detroit Pistons,82,59,23,48.1,100,29.5,73.7,7.1,5.8,11.8,11.5,9.6,35.3,82,59,23,3946,108,100,8,61.1,1.92,17.9,29.4,73.7,51.4,12.9,49.5,53.9,89.9,55.2,2007-2008,Detroit Pistons,31.49,18.7,29.52,20.04,0.24,13.12,12.13,11.34,10.03,14.63,13.77,2007-2008,REG,82
Golden State Warriors,82,48,34,48.2,106.6,30.4,70.3,9.1,4.6,15.6,15.7,14.3,45,82,48,34,3956,109.1,106.6,2.6,53.9,1.69,16.3,27.2,70.3,47.9,13,51.1,54.8,101.42,49.6,2007-2008,Golden State Warriors,44.52,8.93,17.22,28.97,0.36,12.31,11.82,9.72,9.84,14.52,13.55,2007-2008,REG,82
Houston Rockets,82,55,27,48.1,98.8,32.4,74.8,7.3,5.1,14.4,12.7,12.9,35.8,82,55,27,3946,103.9,98.8,5,58.5,1.56,16.9,29.1,74.8,52.3,14.7,49.2,52.8,92.88,53.5,2007-2008,Houston Rockets,39.38,14.54,20.63,25.19,0.25,12.32,12.03,10.15,10.49,14.08,13.2,2007-2008,REG,82
Indiana Pacers,82,36,46,48.2,104.6,32.1,73.9,7.6,5,17.2,13.2,12,37,82,36,46,3951,103.7,104.6,-0.9,60.1,1.51,17,24.4,73.9,48.7,15,49.8,54,100.13,48.5,2007-2008,Indiana Pacers,35.15,14.37,21.64,28.54,0.3,13.54,12.71,11.59,11.21,15.1,13.96,2007-2008,REG,82
Los Angeles Clippers,82,23,59,48.3,106.4,30.4,73.1,6.8,4.9,15.7,13.2,10.4,43.5,82,23,59,3961,98.8,106.4,-7.6,61.4,1.47,16.8,23.1,73.1,47.9,15.2,46.5,51.9,94.35,46.1,2007-2008,Los Angeles Clippers,34.77,19.4,29.06,16.5,0.27,12.48,11.53,10.53,9.41,14,13.37,2007-2008,REG,82
Los Angeles Lakers,82,57,25,48.2,102.8,33.2,73.4,8,5.3,15.8,14.3,11.9,41.2,82,57,25,3956,110.3,102.8,7.4,61.7,1.73,18.2,26.3,73.4,50.8,14.3,52.5,57,98.01,55.1,2007-2008,Los Angeles Lakers,40.89,12.13,21.3,25.45,0.23,12.25,11.9,10.08,10.07,14.22,13.37,2007-2008,REG,82
Memphis Grizzlies,82,22,60,48.3,109.2,31.3,73.4,6.1,4.7,18,13,16.2,45.8,82,22,60,3961,102.4,109.2,-6.8,51.4,1.26,15,23.8,73.4,48.3,15.5,50,53.9,97.49,45.1,2007-2008,Memphis Grizzlies,42.66,13.2,17.74,25.87,0.53,12.1,12.26,9.71,10.01,14.08,14.33,2007-2008,REG,82
Miami Heat,82,15,67,48.4,107.1,28.6,71.9,7.2,4.3,17,13.9,13.5,38.8,82,15,67,3966,98.1,107.1,-9,58.5,1.37,16.4,22.1,71.9,46.6,15.7,48.2,52.2,92.5,44.5,2007-2008,Miami Heat,34.88,14.03,29.45,21.35,0.28,12.99,12.45,10.97,10.35,14.59,14.3,2007-2008,REG,82
Milwaukee Bucks,82,26,56,48.4,109.8,28.8,73,6.6,4.4,17.2,13,14.2,41.6,82,26,56,3971,102.4,109.8,-7.5,58.2,1.45,16.6,30,73,50.6,15.6,48.2,52.2,93.85,45.2,2007-2008,Milwaukee Bucks,43.85,15.76,20.99,19.18,0.21,11.22,11.87,9.54,9.91,12.59,13.67,2007-2008,REG,82
Minnesota Timberwolves,82,22,60,48.1,108.9,29.6,73.6,7.5,3.7,17.8,13,14.5,38.9,82,22,60,3946,100.7,108.9,-8.2,53,1.37,15.7,27.5,73.6,49.8,15.3,48.4,51.8,94.25,43.5,2007-2008,Minnesota Timberwolves,43.68,17.28,20.66,17.91,0.47,11.24,12.4,9.29,10.17,12.83,14.4,2007-2008,REG,82
New Jersey Nets,82,34,48,48.4,106.6,30.7,73.8,6.4,4.8,16.7,13.4,12.7,37.4,82,34,48,3966,101.4,106.6,-5.2,67.4,1.57,18.2,26.6,73.8,50.1,15.9,48.1,52.8,93.87,47.5,2007-2008,New Jersey Nets,41.01,11.22,25.58,21.74,0.45,12.06,12.2,10.07,10.46,13.65,13.66,2007-2008,REG,82
New Orleans Hornets,82,56,26,48.3,102.9,30.4,75.4,7.8,3.9,12.5,11.3,11.3,38.2,82,56,26,3961,109,102.9,6.2,56.4,1.83,17.3,27,75.4,50.6,12.8,51.2,54.8,92.12,52.6,2007-2008,New Orleans Hornets,37.49,15.95,22.73,23.66,0.16,12.39,12.57,10.62,10.29,13.93,14.51,2007-2008,REG,82
New York Knicks,82,23,59,48.5,109.6,30,72.7,6.4,2.6,17.3,13.5,12.5,41,82,23,59,3976,101.4,109.6,-8.2,51.6,1.29,14.7,28.6,72.7,49.9,15.1,47.5,51.8,94.07,44,2007-2008,New York Knicks,45.26,13.7,19.49,21.2,0.36,11.19,12.41,9.25,10.29,12.7,14.32,2007-2008,REG,82
Orlando Magic,82,52,30,48.2,102.7,32.6,74.8,6.3,4.1,16.1,12.7,12.5,37.4,82,52,30,3956,109,102.7,6.3,55.8,1.45,16.5,23.4,74.8,50.2,14.9,53.7,57.5,95.63,52.9,2007-2008,Orlando Magic,41.13,13.56,13.17,31.83,0.31,12.42,12.62,10.2,10.74,14.43,14.14,2007-2008,REG,82
Philadelphia 76ers,82,40,42,48.2,103.4,28.9,72,8.7,4.9,15,13.1,10,40.9,82,40,42,3951,103,103.4,-0.4,54.7,1.43,16,31.8,72,51.7,15.2,48.2,52.2,93.08,50,2007-2008,Philadelphia 76ers,43.73,19.32,22.6,13.86,0.5,10.6,11.68,8.23,9.67,12.61,13.41,2007-2008,REG,82
Phoenix Suns,82,55,27,48.2,104.9,32.7,70.9,6.5,6.3,16.1,15.4,12.2,44.8,82,55,27,3956,111.2,104.9,6.3,64.5,1.85,19.8,22.4,70.9,48.6,14.6,55.1,59,99.05,55.6,2007-2008,Phoenix Suns,38.28,14.58,21.22,25.81,0.12,12.36,11.63,10.27,9.85,14.46,13.12,2007-2008,REG,82
Portland Trail Blazers,82,41,41,48.5,105.5,29.7,71.8,5.5,4.4,14.5,13.5,12.5,40.5,82,41,41,3981,104.1,105.5,-1.4,59,1.64,17.1,26.8,71.8,49.4,14.1,48.9,53.2,90.43,49.5,2007-2008,Portland Trail Blazers,30.19,16.87,31.19,21.21,0.55,13.75,11.98,12.13,9.87,15.06,13.72,2007-2008,REG,82
Sacramento Kings,82,38,44,48.4,107.2,30,71.7,7.9,4.1,18.4,13.6,13.1,41.4,82,38,44,3966,104.5,107.2,-2.7,51.5,1.19,15,25.2,71.7,48.9,16.4,50.3,55.6,97.21,48.3,2007-2008,Sacramento Kings,42.06,13.19,23.91,20.68,0.17,11.68,12.27,9.9,10.14,13.21,14.12,2007-2008,REG,82
San Antonio Spurs,82,56,26,48.1,99.5,31.9,77.1,6.4,4.1,14,10.5,11.5,35.6,82,56,26,3946,104.7,99.5,5.2,58.5,1.66,17.3,23.4,77.1,50.6,13.9,50.4,54.3,90.83,53.3,2007-2008,San Antonio Spurs,36.41,15.78,22.99,24.62,0.21,12.82,12.2,10.94,10.34,14.41,13.68,2007-2008,REG,82
Seattle SuperSonics,82,20,62,48.4,106.9,32.8,73.7,6.5,4.9,18.3,13.9,14.1,44.2,82,20,62,3966,97.6,106.9,-9.2,55.9,1.33,16,26.8,73.7,50.3,16,46.7,50.9,98.94,45,2007-2008,Seattle SuperSonics,40,19.01,27.66,13.25,0.09,11.28,11.66,9.61,9.95,12.62,13.13,2007-2008,REG,82
Toronto Raptors,82,41,41,48.4,104.3,30.4,75,7,4.1,13.6,11.7,10.6,37.6,82,41,41,3966,107.7,104.3,3.5,62,2.04,18.8,23.4,75,49.1,12.6,51.1,55.1,92.43,51.9,2007-2008,Toronto Raptors,32.7,14.2,31.42,21.38,0.3,13.19,12.7,11.54,10.59,14.64,14.48,2007-2008,REG,82
Utah Jazz,82,54,28,48.1,104,29.4,74.1,8.7,4.3,16.2,12.8,13.6,39.7,82,54,28,3941,110.8,104,6.8,66,1.8,19.7,29.5,74.1,52,15.3,52.8,57.3,95.57,55.6,2007-2008,Utah Jazz,44.86,12.39,26.33,16.12,0.29,10.89,12.06,8.79,9.79,12.96,13.99,2007-2008,REG,82
Washington Wizards,82,43,39,48.5,106.8,29.3,72.8,7.7,4.8,15,13.1,12.9,37.6,82,43,39,3981,106,106.8,-0.8,53.8,1.49,15.7,28.9,72.8,50.2,14.2,48.9,53.5,91.99,48.8,2007-2008,Washington Wizards,39.24,13.64,23.05,23.91,0.16,12.59,12.88,10.4,10.87,14.36,14.61,2007-2008,REG,82
Atlanta Hawks,82,30,52,48.5,105.5,28.2,70.9,7.4,5.4,18.1,13.7,13.3,43,82,30,52,3976,100.1,105.5,-5.3,55.6,1.2,15.4,29.2,70.9,49.8,17,47.1,52.3,92.5,46.6,2006-2007,Atlanta Hawks,42.67,11.66,29.43,16.07,0.17,11.36,10.83,9.38,9.03,12.95,12.41,2006-2007,REG,82
Boston Celtics,82,24,58,48.4,104.5,29.2,73.8,7.2,4.7,18.2,12,12.4,41.7,82,24,58,3971,100.2,104.5,-4.4,57,1.21,15.7,27,73.8,49.9,17.2,47.9,53,94.46,45.9,2006-2007,Boston Celtics,43.43,13.67,23.04,19.57,0.29,11.61,11.27,9.87,9.3,13,13.01,2006-2007,REG,82
Charlotte Bobcats,82,33,49,48.8,104.8,28.6,71.6,7.8,4.5,16.9,12.9,13.1,42,82,33,49,4001,100.7,104.8,-4.1,62,1.5,17.3,26.4,71.6,48.3,15.5,48,52.4,94.55,47.1,2006-2007,Charlotte Bobcats,42.98,12.86,24.96,19,0.21,11.41,11,9.64,9.03,12.83,12.72,2006-2007,REG,82
Chicago Bulls,82,49,33,48.2,97,31.7,74.3,7.8,5.4,17.2,12,10.7,35.1,82,49,33,3956,102.5,97,5.4,60.1,1.4,17.1,28.6,74.3,51.6,16.6,49.3,53.4,96.04,53.9,2006-2007,Chicago Bulls,36.92,15.04,29.51,18.27,0.27,12.32,12.17,10.97,10.32,13.45,13.59,2006-2007,REG,82
Cleveland Cavaliers,82,50,32,48.5,98.9,30.8,75.8,7.6,4.3,14.7,12.3,10.7,38.1,82,50,32,3976,102.6,98.9,3.7,57.4,1.45,16.3,29.7,75.8,52.2,15.2,48.4,52.2,93.2,52,2006-2007,Cleveland Cavaliers,41.46,16.05,21.46,20.78,0.24,11.65,11.7,9.46,9.47,13.42,13.52,2006-2007,REG,82
Dallas Mavericks,82,67,15,48.2,100.6,30.7,75,6.8,5,15.2,11.4,12.7,36.9,82,67,15,3951,108.5,100.6,7.9,54.2,1.43,16.1,28.7,75,52.4,15.1,50.9,55.9,91.9,55.2,2006-2007,Dallas Mavericks,34.28,19.37,24.62,21.44,0.29,12.62,11.38,11.04,9.62,14.01,12.81,2006-2007,REG,82
Denver Nuggets,82,45,37,48.2,102.7,31.2,71.8,8.3,5.3,18.6,14.3,14.6,44.8,82,45,37,3956,104.9,102.7,2.2,60.7,1.42,17.2,28.9,71.8,50.7,16.4,50.1,54.8,100.19,51.4,2006-2007,Denver Nuggets,45.17,12.3,21.41,20.81,0.31,11.12,11.8,8.52,9.55,13.39,13.71,2006-2007,REG,82
Detroit Pistons,82,53,29,48.5,101.1,29,70.9,7.1,5.8,13.2,13.3,11.2,37.2,82,53,29,3976,106.2,101.1,5.1,60.1,1.77,17.5,28.3,70.9,49.6,13.5,48.8,53.5,89.72,53.3,2006-2007,Detroit Pistons,36.17,22.1,21.62,19.9,0.22,11.99,11.41,10.15,9.46,13.52,12.97,2006-2007,REG,82
Golden State Warriors,82,42,40,48.2,104.5,29.9,69.6,9.1,5.7,18.3,16,13.4,43.9,82,42,40,3951,104.7,104.5,0.2,59.8,1.49,17.4,25.6,69.6,47.2,15.7,51.2,54.8,101.64,48.9,2006-2007,Golden State Warriors,45.4,9.49,17.21,27.62,0.27,11.93,11.95,9.47,9.86,14.05,13.75,2006-2007,REG,82
Houston Rockets,82,52,30,48.4,97.5,32.6,77,7.1,4.1,14.8,11.6,9.6,33,82,52,30,3971,104,97.5,6.4,58.6,1.47,16.7,25.7,77,51.5,15.2,49.9,54,93.04,52.9,2006-2007,Houston Rockets,37.64,14.86,18.55,28.81,0.14,12.85,12.65,11.11,11.05,14.25,13.85,2006-2007,REG,82
Indiana Pacers,82,35,47,48.2,103,29.8,72.7,7.3,5.5,18.5,13.2,12.6,38.7,82,35,47,3956,100,103,-3,58.5,1.26,16,28.4,72.7,50.1,17,47.4,52.3,94.93,48.5,2006-2007,Indiana Pacers,38.59,18.85,21.33,20.92,0.31,12.14,11.5,10.31,9.93,13.57,12.82,2006-2007,REG,82
Los Angeles Clippers,82,40,42,48.1,102.8,30.3,74.7,7.3,5.8,16.5,12.1,9,40,82,40,42,3946,102.4,102.8,-0.4,61.2,1.42,17.1,27.2,74.7,51.2,16.2,48.1,53.7,93.2,50.9,2006-2007,Los Angeles Clippers,35.94,24.28,25.45,14.02,0.3,11.82,11.63,9.96,9.65,13.38,13.26,2006-2007,REG,82
Los Angeles Lakers,82,42,40,48.9,106.1,30.4,72.3,7.3,5.1,18.2,14.1,12.2,43.7,82,42,40,4006,105.6,106.1,-0.5,59.6,1.45,17.2,26.1,72.3,49.4,15.9,51.1,55.4,95.99,49.9,2006-2007,Los Angeles Lakers,42.04,12.38,19.68,25.58,0.32,12.09,11.39,9.87,9.3,14.03,13.17,2006-2007,REG,82
Memphis Grizzlies,82,22,60,48.7,109.7,29,71.1,6.9,5,19.8,14.2,14.6,45.4,82,22,60,3996,104.3,109.7,-5.4,56,1.25,16,25.9,71.1,48.5,16.8,50.4,55.5,95.88,46.2,2006-2007,Memphis Grizzlies,45.26,13.17,20.62,20.6,0.35,11.38,11.55,9.42,9.58,13.08,13.41,2006-2007,REG,82
Miami Heat,82,44,38,48.4,102,30.8,73.3,6.9,5.4,16.4,13.3,12.8,36.1,82,44,38,3971,102.6,102,0.6,57.6,1.4,16.7,24.9,73.3,49.7,15.9,50.6,54.1,92.1,50.8,2006-2007,Miami Heat,41.48,12.99,21.15,24.11,0.27,12.07,12.59,9.62,10.72,14.19,14.08,2006-2007,REG,82
Milwaukee Bucks,82,28,54,48.4,109.1,27.7,68.1,7.2,2.7,17.5,14.2,12.9,43.5,82,28,54,3971,104,109.1,-5,56.7,1.43,16.8,27.6,68.1,47.6,15.8,50.4,54.1,94.77,45.6,2006-2007,Milwaukee Bucks,46.22,13.61,18.29,21.73,0.15,11.05,11.87,8.93,9.49,12.89,14.06,2006-2007,REG,82
Minnesota Timberwolves,82,32,50,48.8,105.3,30.2,72.1,6.5,4,17.5,13.9,11.8,40.4,82,32,50,4001,101.1,105.3,-4.2,61.7,1.45,17.7,25.2,72.1,49.2,16.4,49,53.7,93.35,48.7,2006-2007,Minnesota Timberwolves,35.9,16.93,30.45,16.24,0.48,12.41,12.05,10.63,9.78,13.94,13.98,2006-2007,REG,82
New Jersey Nets,82,41,41,48.5,103.5,30.8,74.4,6.1,3.3,16.6,12.5,11.1,35.6,82,41,41,3976,103.7,103.5,0.2,67.4,1.62,18.7,24.6,74.4,49.7,15.7,50.4,54.6,93.61,49.9,2006-2007,New Jersey Nets,39.93,9.86,23.98,26.02,0.2,12.49,12.48,10.49,10.53,14.17,14.06,2006-2007,REG,82
