city,state,zipcode,county,employer_name,case_number
SAN ANTONIO ,TEXAS ,78218 ,BEXAR ,"RACKSPACE US, INC. ",I-200-16102-042864 
CHARLOTTE ,NORTH CAROLINA ,28226 ,MECKLENBURG ,GOKATECH INC ,I-200-16327-005950 
PEACHTREE CITY ,GEORGIA ,30269 ,FAYETTE ,GOKATECH INC ,I-200-16309-575916 
MANASSAS ,VIRGINIA ,20110 ,MANASSAS CITY ,TAMMINA SOLUTIONS LLC ,I-200-16295-756636 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. INC. ,I-200-16351-423445 
SUNNYVALE ,CALIFORNIA ,94088 ,SANTA CLARA ,ARICENT N.A. INC. ,I-200-16351-076282 
HILLSBORO ,OREGON ,97124 ,WASHINGTON ,ARICENT N.A. INC. ,I-200-16354-764210 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. INC. ,I-200-16354-576638 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. INC. ,I-200-16333-563347 
HILLSBORO ,OREGON ,97124 ,WASHINGTON ,ARICENT N.A. INC. ,I-200-16333-613019 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16321-699636 
SUNNYVALE ,CALIFORNIA ,94088 ,SANTA CLARA ,ARICENT N.A. ,I-200-16321-370704 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16318-884466 
HUDSON ,MASSACHUSETTS ,01749 ,MIDDLESEX ,ARICENT N.A. ,I-200-16318-532924 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16318-891192 
HUDSON ,MASSACHUSETTS ,01749 ,MIDDLESEX ,ARICENT N.A. ,I-200-16318-330083 
HUDSON ,MASSACHUSETTS ,01749 ,MIDDLESEX ,ARICENT N.A. ,I-200-16302-760552 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16306-489073 
HUDSON ,MASSACHUSETTS ,01749 ,MIDDLESEX ,ARICENT N.A. ,I-200-16306-874899 
HUDSON ,MASSACHUSETTS ,01749 ,MIDDLESEX ,ARICENT N.A. ,I-200-16302-413358 
AUSTIN ,TEXAS ,78735 ,TRAVIS ,ARICENT N.A. ,I-200-16300-226820 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16300-909756 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16299-947381 
IRVINE ,CALIFORNIA ,92617 ,ORANGE ,ARICENT N.A. ,I-200-16299-267664 
SANTA CLARA ,CALIFORNIA ,95054 ,SANTA CLARA ,ARICENT N.A. ,I-200-16296-889338 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16296-163587 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16294-584134 
HILLSBORO ,OREGON ,97124 ,WASHINGTON ,ARICENT N.A. ,I-200-16294-772413 
MOUNTAIN VIEW ,CALIFORNIA ,94043 ,SANTA CLARA ,ARICENT N.A. ,I-200-16292-638875 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16292-225138 
SUNNYVALE ,CALIFORNIA ,94085 ,SANTA CLARA ,ARICENT N.A. ,I-200-16291-911237 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16291-904560 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16291-407420 
HILLSBORO ,OREGON ,97124 ,WASHINGTON ,ARICENT N.A. ,I-200-16291-925315 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16286-626938 
SANTA CLARA ,CALIFORNIA ,95054 ,SANTA CLARA ,ARICENT N.A. ,I-200-16286-884403 
SAN JOSE ,CALIFORNIA ,95134 ,SANTA CLARA ,ARICENT N.A. ,I-200-16280-933133 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16280-520916 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16277-545137 
IRVINE ,CALIFORNIA ,92617 ,ORANGE ,ARICENT N.A. ,I-200-16277-446331 
HILLSBORO ,OREGON ,97124 ,WASHINGTON ,ARICENT N.A. ,I-200-16272-769315 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16272-168138 
BENSENVILLE ,ILLINOIS ,60106 ,DUPAGE ,ARICENT N.A. ,I-200-16271-931598 
SUNNYVALE ,CALIFORNIA ,94085 ,SANTA CLARA ,ARICENT N.A. ,I-200-16270-703550 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16270-890941 
HILLSBORO ,OREGON ,97124 ,WASHINGTON ,ARICENT N.A. ,I-200-16265-275856 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16264-677290 
SUNNYVALE ,CALIFORNIA ,94085 ,SANTA CLARA ,ARICENT N.A. ,I-200-16264-636990 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16264-100702 
SAN JOSE ,CALIFORNIA ,95134 ,SANTA CLARA ,ARICENT N.A. ,I-200-16264-102505 
SANTA CLARA ,CALIFORNIA ,95054 ,SANTA CLARA ,ARICENT N.A. ,I-200-16260-712579 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16260-185766 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ARICENT N.A. ,I-200-16197-848350 
SAN JOSE ,CALIFORNIA ,95124 ,SANTA CLARA ,ARICENT N.A. INC. ,I-200-16105-554373 
SAN FRANCISCO ,CALIFORNIA ,94104 ,SAN FRANCISCO ,MORGAN STANLEY AND CO LLC ,I-200-16230-218725 
NEW YORK ,NEW YORK ,10036 ,NEW YORK ,MORGAN STANLEY AND CO LLC ,I-200-16230-148007 
NEW YORK ,NEW YORK ,10019 ,NEW YORK ,MORGAN STANLEY AND CO LLC ,I-200-16204-893586 
NEW YORK ,NEW YORK ,10036 ,NEW YORK ,MORGAN STANLEY AND CO LLC ,I-200-16141-892251 
NEW YORK ,NEW YORK ,10036 ,NEW YORK ,MORGAN STANLEY AND CO LLC ,I-200-16132-413497 
NEW YORK ,NEW YORK ,10036 ,NEW YORK ,MORGAN STANLEY AND CO LLC ,I-200-16130-142685 
NEW YORK ,NEW YORK ,10036 ,NEW YORK ,MORGAN STANLEY AND CO LLC ,I-200-16130-297085 
NEW YORK ,NEW YORK ,10004 ,NEW YORK ,MORGAN STANLEY AND CO. LLC ,I-200-16123-803955 
NEW YORK ,NEW YORK ,10036 ,NEW YORK ,MORGAN STANLEY AND CO LLC ,I-200-16117-393357 
